UF_CADASTRO,diversificacao_media,renda_media
AC,0.1259276655929952,35317.83721631206
AL,0.19326771605222598,33119.20093507554
AM,0.22104145810565948,34548.051408637875
AP,0.1850576941397007,35677.71722772277
BA,0.20499429324775872,32151.05354571843
CE,0.1947758344203115,32545.05463777852
DF,0.2542670257966841,34723.5313027559
ES,0.23027915419052436,29594.92568941937
GO,0.16706794157592392,52266.12234018265
MA,0.19089478515206443,40683.95942169428
MG,0.1887630690250704,32079.289344500714
MS,0.18058945905666918,61621.04427664639
MT,0.20469785656065986,66292.28317593984
PA,0.16580838317428873,36418.086672413796
PB,0.18251523225579686,30792.035861980505
PE,0.1931381571648308,31286.03198536224
PI,0.1828957830399503,33671.71921913472
PR,0.2117822595890849,34962.48686383723
RJ,0.21128364673018427,30606.425310776154
RN,0.20075790890575704,34912.14138654709
RO,0.20603869519489676,39386.09863406408
RR,0.17345295152407597,46848.07533980582
RS,0.18399526051059648,36452.92660429982
SC,0.19261794625878187,31240.756173202135
SE,0.18493632293228446,32595.29729276316
SP,0.17490351433486687,29308.798892756397
TO,0.20247368706504024,58592.96137278107
