grupo_ocupacao,diversificacao_media,proporcao_complex,total_clientes
Industrial,0.23359840967918272,0.6632688839911841,2865
Administração,0.21483139957075345,0.6704881205284107,3840
Saúde,0.20190509782292795,0.6329177731877643,5488
Outros,0.20054776343343186,0.6087425826260954,50688
Cultura/Comunicação,0.1969285639295826,0.5908488063660478,214
Servidor Público,0.18677210186823176,0.5958194613951918,30786
Educação,0.18340370656292113,0.5699755484615907,3945
Segurança,0.18134373235493978,0.5556765037897113,1576
Justiça,0.18015465298582434,0.579980506822612,2320
Autônomo/Comércio,0.1309342727455684,0.39893283113622097,628
Agropecuária,0.12522381230356286,0.47649743487240986,2892
