regiao,faixa_renda,diver
Nordeste,Até 20k,0.0
Sudeste,Até 20k,0.932772452258142
Sudeste,Acima de 20k,0.0
Sudeste,Acima de 20k,0.0
Sudeste,Até 20k,0.0
Sudeste,Acima de 20k,0.0
Nordeste,Acima de 20k,0.0
Sudeste,Até 20k,0.16905758932178241
Nordeste,Até 20k,0.0
Nordeste,Até 20k,0.09019902072144007
Sudeste,Acima de 20k,0.0038105120323040902
Sudeste,Até 20k,0.9422963962157062
Sul,Acima de 20k,0.8107977637450008
Sudeste,Até 20k,0.9791483915902489
Sudeste,Acima de 20k,0.4455066068624439
Sudeste,Acima de 20k,0.0
Sudeste,Acima de 20k,0.0
Sudeste,Até 20k,0.21370448408334405
Sudeste,Acima de 20k,0.2718949678484973
Sul,Acima de 20k,0.0
Sul,Até 20k,0.2689595716011865
Sudeste,Até 20k,0.0
Sudeste,Acima de 20k,0.15576646061420052
Sudeste,Acima de 20k,0.1417553855988545
Sudeste,Até 20k,0.746752078101541
Sudeste,Até 20k,0.016501988970181885
Sudeste,Até 20k,0.0
Sudeste,Acima de 20k,0.40470381171494846
Centro-Oeste,Acima de 20k,0.13167469974506824
Sul,Acima de 20k,0.16157756916189187
Sudeste,Acima de 20k,0.6302609314647398
Norte,Acima de 20k,0.0015332775232757025
Sudeste,Acima de 20k,0.0
Centro-Oeste,Até 20k,0.0
Sudeste,Acima de 20k,0.03287231168856955
Centro-Oeste,Acima de 20k,0.9501483665334736
Sudeste,Acima de 20k,0.8457175749862217
Nordeste,Acima de 20k,0.0
Sudeste,Até 20k,0.0
Sudeste,Acima de 20k,0.04858736371999106
Centro-Oeste,Acima de 20k,0.8153162001152179
Sudeste,Acima de 20k,0.0
Sul,Acima de 20k,0.12322996280441578
Sudeste,Acima de 20k,0.7401381659010463
Sul,Acima de 20k,0.29866123760399904
Nordeste,Acima de 20k,0.43899846614227594
Sudeste,Acima de 20k,0.0
Sudeste,Acima de 20k,0.05328058254464519
Sudeste,Acima de 20k,1.0
Sudeste,Até 20k,0.06990767656435372
Nordeste,Até 20k,0.0
Norte,Até 20k,0.0
Nordeste,Acima de 20k,0.0
Sudeste,Até 20k,0.0
Sudeste,Acima de 20k,0.0
Nordeste,Acima de 20k,0.1379148095038802
Sul,Acima de 20k,1.0
Sudeste,Acima de 20k,0.013530104185492439
Sul,Até 20k,0.0
Centro-Oeste,Até 20k,0.31391579650329854
Sul,Até 20k,0.0
Sul,Acima de 20k,0.0
Sudeste,Acima de 20k,0.0
Nordeste,Até 20k,0.8013073426814042
Sul,Até 20k,0.0
Sul,Acima de 20k,0.33803955368600935
Centro-Oeste,Até 20k,0.0
Sudeste,Acima de 20k,0.0
Nordeste,Acima de 20k,0.01700134756706704
Sul,Acima de 20k,0.0
Sudeste,Acima de 20k,0.13617847537833852
Nordeste,Acima de 20k,0.0
Sudeste,Até 20k,0.5913347598685127
Sul,Acima de 20k,0.0
Nordeste,Acima de 20k,0.010302823832605628
Sudeste,Acima de 20k,0.01981790088541186
Norte,Acima de 20k,0.0
Sudeste,Acima de 20k,0.0
Sudeste,Acima de 20k,0.24757167922017756
Sudeste,Acima de 20k,0.232569332929218
Sudeste,Acima de 20k,0.0
Sul,Até 20k,0.0
Nordeste,Acima de 20k,0.0897700731111806
Sul,Acima de 20k,0.5648379836272402
Sul,Acima de 20k,0.06521632565840985
Nordeste,Acima de 20k,0.668030045318548
Sudeste,Acima de 20k,0.012496804444315725
Sudeste,Acima de 20k,0.07012041705725408
Sudeste,Acima de 20k,0.2358696314069505
Sul,Acima de 20k,0.03062846798397964
Sudeste,Acima de 20k,0.0
Sudeste,Até 20k,0.021138756234688
Sudeste,Acima de 20k,0.0
Sul,Acima de 20k,0.0
Sudeste,Acima de 20k,0.0
